data_type_id,data_type_name,dataset_id,data_category_id
FGM,FORECAST - GENERAL - DAILY MORNING,FORECAST,GENERAL
FGA,FORECAST - GENERAL - DAILY AFTERNOON,FORECAST,GENERAL
FGN,FORECAST - GENERAL - DAILY NIGHT,FORECAST,GENERAL
FMAXT,FORECAST - GENERAL - DAILY MAXIMUM TEMPERATURE,FORECAST,GENERAL
FMINT,FORECAST - GENERAL - DAILY MINIMUM TEMPERATURE,FORECAST,GENERAL
FSIGW,FORECAST - GENERAL - DAILY SIGNIFICANT WEATHER,FORECAST,GENERAL
WINDSEA,WARNING - STRONG WIND & ROUGH SEA,WARNING,WINDSEA
RAIN,WARNING - HEAVY RAIN,WARNING,RAIN
CYCLONE,WARNING - TROPICAL CYCLONE,WARNING,CYCLONE
QUAKETSUNAMI,ALERT - EARTHQUAKE/TSUNAMI,WARNING,QUAKETSUNAMI
RADARMY,OBSERVATION - RADAR - MALAYSIA,OBSERVATION,RADAR
RADARPENINSULAMY,OBSERVATION - RADAR - PENINSULA MALAYSIA,OBSERVATION,RADAR
RADARSABAHSARAWAK,OBSERVATION - RADAR - SABAH & SARAWAK,OBSERVATION,RADAR
SATHIMAWARI,OBSERVATION - SATELLITE - HIMAWARI-8 ASEAN INFRA RED BAND,OBSERVATION,RADAR
SATFY2G,OBSERVATION - SATELLITE - FENG YUN 2G ASEAN INFRA RED BAND,OBSERVATION,SATELLITE
SATNOAA,OBSERVATION - SATELLITE - NOAA PENINSULA & SUMATERA,OBSERVATION,SATELLITE
SATTERRAAQUA,OBSERVATION - SATELLITE - TERRA/AQUA HOTSPOT PENINSULA,OBSERVATION,SATELLITE
FMM,FORECAST - MARINE - DAILY MORNING,FORECAST,MARINE
FMA,FORECAST - MARINE - DAILY AFTERNOON,FORECAST,MARINE
FMN,FORECAST - MARINE - DAILY NIGHT,FORECAST,MARINE
FMSIGW,FORECAST - MARINE - DAILY SIGNIFICANT WEATHER,FORECAST,MARINE
FMWD,FORECAST - MARINE - WIND DIRECTION,FORECAST,MARINE
FMWS,FORECAST - MARINE - WIND SPEED,FORECAST,MARINE
FMWH,FORECAST - MARINE - WAVE HEIGHT,FORECAST,MARINE
WINDSEA2,WARNING - STRONG WIND & ROUGH SEA,WARNING,WINDSEA2
CYCLONE2,WARNING - TROPICAL CYCLONE,WARNING,CYCLONE2
QUAKETSUNAMI2,ALERT - EARTHQUAKE/TSUNAMI,WARNING,QUAKETSUNAMI2
THUNDERSTORM2,WARNING - THUNDERSTORM,WARNING,THUNDERSTORM2
RAIN_1HR,OBSERVATION - HOURLY OBSERVATION - RAIN_1HR,OBSERVATION,HOURLY
TEMP,OBSERVATION - HOURLY OBSERVATION - TEMPERATURE,OBSERVATION,HOURLY
RH,OBSERVATION - HOURLY OBSERVATION - RELATIVE HUMIDITY,OBSERVATION,HOURLY
WND_DIR,OBSERVATION - HOURLY OBSERVATION - WIND DIRECTION,OBSERVATION,HOURLY
WND_SPD,OBSERVATION - HOURLY OBSERVATION - WIND SPEED,OBSERVATION,HOURLY
VIS,OBSERVATION - HOURLY OBSERVATION - VISIBILITY,OBSERVATION,HOURLY
PRST_WX_ID,OBSERVATION - HOURLY OBSERVATION - PRESENT WEATHER ID,OBSERVATION,HOURLY
RMAXT,OBSERVATION - RAINS - MAX TEMPERATURE,OBSERVATION,RAINS
THUNDERSTORM,WARNING - THUNDERSTORM,WARNING,THUNDERSTORM
RAIN2,WARNING - HEAVY RAIN,WARNING,RAIN2
RAINS,OBSERVATION - RAINS - RAINS,OBSERVATION,RAINS
RAINS10m,OBSERVATION - RAINS - RAINS + 10m,OBSERVATION,RAINS
RAINS20m,OBSERVATION - RAINS - RAINS + 20m,OBSERVATION,RAINS
RAINS30m,OBSERVATION - RAINS - RAINS + 30m,OBSERVATION,RAINS
RAINS40m,OBSERVATION - RAINS - RAINS + 40m,OBSERVATION,RAINS
RAINS50m,OBSERVATION - RAINS - RAINS + 50m,OBSERVATION,RAINS
RAINS60m,OBSERVATION - RAINS - RAINS + 60m,OBSERVATION,RAINS
RAINS70m,OBSERVATION - RAINS - RAINS + 70m,OBSERVATION,RAINS
RAINS80m,OBSERVATION - RAINS - RAINS + 80m,OBSERVATION,RAINS
RAINS90m,OBSERVATION - RAINS - RAINS + 90m,OBSERVATION,RAINS
RAINS100m,OBSERVATION - RAINS - RAINS + 100m,OBSERVATION,RAINS
RAINS110m,OBSERVATION - RAINS - RAINS + 110m,OBSERVATION,RAINS
RAINS120m,OBSERVATION - RAINS - RAINS + 120m,OBSERVATION,RAINS
